Student ID,Name,Gender,Study Hours,Attendance (%),Math Score,Reading Score,Writing Score
1280,Student_280,Female,6.7,91.2,97.5,100.0,100.0
1103,Student_103,Female,2.8,90.0,81.4,95.2,90.0
1172,Student_172,Male,1.1,87.5,83.2,74.3,82.5
1171,Student_171,Female,7.2,86.8,100.0,89.1,94.6
1074,Student_74,Female,3.9,74.2,85.6,78.7,89.3
1265,Student_265,Male,7.3,94.4,94.7,100.0,94.2
1133,Student_133,Male,3.3,,84.8,70.0,73.3
1160,Student_160,Female,4.0,82.8,78.9,79.3,79.2
1038,Student_38,Male,4.5,94.6,79.8,89.0,76.4
1082,Student_82,Female,4.6,90.4,98.6,84.5,91.1
1275,Student_275,Male,5.4,92.1,,80.8,81.8
1061,Student_61,Male,4.4,100.0,96.4,95.0,100.0
1228,Student_228,Female,4.4,100.0,98.4,85.4,99.4
1276,Student_276,Female,3.1,89.4,81.2,60.1,69.0
1067,Student_67,Female,4.9,83.7,91.7,81.8,89.2
1130,Student_130,Female,5.3,99.4,99.7,92.3,88.8
1139,Student_139,Male,7.2,96.7,100.0,94.9,98.1
1058,Student_58,Male,2.8,62.0,67.8,,78.5
1089,Student_89,Female,5.6,71.0,92.1,100.0,100.0
1186,Student_186,Male,4.9,88.8,85.1,97.1,95.2
1123,Student_123,Female,1.0,76.4,77.5,72.4,73.2
1085,Student_85,Male,4.1,76.2,83.9,85.7,91.0
1262,Student_262,Female,2.8,77.2,61.0,73.3,68.2
1004,Student_4,Male,2.2,86.2,76.0,68.0,69.6
1090,Student_90,Female,5.6,90.6,,89.1,94.1
1285,Student_285,Female,3.8,94.2,81.8,,83.5
1278,Student_278,Female,4.7,96.6,76.0,100.0,75.8
1129,Student_129,Female,4.8,90.3,82.4,84.9,84.8
1156,Student_156,Female,4.2,81.5,100.0,87.3,94.6
1177,Student_177,Male,3.7,85.7,90.2,80.1,81.3
1031,Student_31,Male,4.4,72.0,,77.2,86.5
